Date;Cash;Defensiv;Ausgewogen;Offensiv
30.06.17; 100,00 € ; 100,00 € ; 100,00 € ; 100,00 € 
03.07.17; 100,00 € ; 100,14 € ; 100,17 € ; 100,27 € 
04.07.17; 100,00 € ; 100,21 € ; 100,16 € ; 100,24 € 
05.07.17; 100,00 € ; 100,01 € ; 100,02 € ; 100,20 € 
06.07.17; 100,00 € ; 99,71 € ; 99,65 € ; 99,64 € 
07.07.17; 100,00 € ; 99,63 € ; 99,54 € ; 99,57 € 
10.07.17; 100,00 € ; 99,89 € ; 99,81 € ; 99,88 € 
11.07.17; 100,00 € ; 99,83 € ; 99,77 € ; 99,83 € 
12.07.17; 100,00 € ; 100,59 € ; 100,54 € ; 100,83 € 
13.07.17; 100,00 € ; 100,66 € ; 100,61 € ; 101,03 € 
14.07.17; 100,00 € ; 100,73 € ; 100,68 € ; 101,10 € 
17.07.17; 100,00 € ; 100,74 € ; 100,69 € ; 101,09 € 
18.07.17; 100,00 € ; 100,54 € ; 100,45 € ; 100,63 € 
19.07.17; 100,00 € ; 100,99 € ; 100,96 € ; 101,36 € 
20.07.17; 100,00 € ; 100,67 € ; 100,56 € ; 100,72 € 
21.07.17; 100,00 € ; 100,51 € ; 100,45 € ; 100,56 € 
24.07.17; 100,00 € ; 100,58 € ; 100,56 € ; 100,72 € 
25.07.17; 100,00 € ; 100,52 € ; 100,51 € ; 100,81 € 
26.07.17; 100,00 € ; 100,67 € ; 100,65 € ; 101,02 € 
27.07.17; 100,00 € ; 100,81 € ; 100,83 € ; 101,24 € 
28.07.17; 100,00 € ; 100,36 € ; 100,36 € ; 100,63 € 
31.07.17; 100,00 € ; 100,34 € ; 100,29 € ; 100,48 € 
01.08.17; 100,00 € ; 100,60 € ; 100,53 € ; 100,67 € 
02.08.17; 100,00 € ; 100,36 € ; 100,23 € ; 100,18 € 
03.08.17; 100,00 € ; 100,22 € ; 100,19 € ; 100,08 € 
04.08.17; 100,00 € ; 100,43 € ; 100,45 € ; 100,56 € 
07.08.17; 100,00 € ; 100,52 € ; 100,53 € ; 100,63 € 
08.08.17; 100,00 € ; 100,67 € ; 100,74 € ; 101,02 € 
09.08.17; 100,00 € ; 100,59 € ; 100,67 € ; 100,82 € 
10.08.17; 100,00 € ; 100,29 € ; 100,38 € ; 100,41 € 
11.08.17; 100,00 € ; 100,01 € ; 100,06 € ; 99,84 € 
14.08.17; 100,00 € ; 100,40 € ; 100,47 € ; 100,43 € 
15.08.17; 100,00 € ; 100,28 € ; 100,36 € ; 100,38 € 
16.08.17; 100,00 € ; 100,63 € ; 100,76 € ; 100,92 € 
17.08.17; 100,00 € ; 100,52 € ; 100,67 € ; 100,82 € 
18.08.17; 100,00 € ; 100,47 € ; 100,62 € ; 100,70 € 
21.08.17; 100,00 € ; 100,33 € ; 100,48 € ; 100,54 € 
22.08.17; 100,00 € ; 100,68 € ; 100,84 € ; 101,02 € 
23.08.17; 100,00 € ; 100,64 € ; 100,82 € ; 100,99 € 
24.08.17; 100,00 € ; 100,67 € ; 100,84 € ; 101,01 € 
25.08.17; 100,00 € ; 100,64 € ; 100,82 € ; 100,99 € 
28.08.17; 100,00 € ; 100,52 € ; 100,67 € ; 100,72 € 
29.08.17; 100,00 € ; 100,37 € ; 100,53 € ; 100,40 € 
30.08.17; 100,00 € ; 100,46 € ; 100,72 € ; 100,84 € 
31.08.17; 100,00 € ; 100,71 € ; 101,03 € ; 101,22 € 
01.09.17; 100,00 € ; 100,89 € ; 101,29 € ; 101,61 € 
04.09.17; 100,00 € ; 100,74 € ; 101,10 € ; 101,30 € 
05.09.17; 100,00 € ; 100,81 € ; 101,17 € ; 101,34 € 
06.09.17; 100,00 € ; 100,73 € ; 101,08 € ; 101,22 € 
07.09.17; 100,00 € ; 100,88 € ; 101,24 € ; 101,33 € 
